Report Number,Date Reported,Date of Occurrence,Time of Occurrence,City,Crime Code,Crime Description,Victim Age,Victim Gender,Weapon Used,Crime Domain,Police Deployed,Case Closed,Date Case Closed
1,24-02-2025,23-02-2025,23-02-2025 03:02,Mumbai,101,Theft,18,M,Other,Property Crime,3,0,
2,01-01-2025,01-01-2025,01-01-2025 00:12,Chennai,102,Robbery,28,M,Firearm,Property Crime,10,1,02-01-2025
3,28-06-2025,27-06-2025,27-06-2025 20:16,Chennai,100,Assault,38,F,None,Violent Crime,8,1,04-07-2025
4,16-06-2025,15-06-2025,15-06-2025 19:51,Delhi,104,Cyber Crime,34,M,None,Other Crime,2,1,01-08-2025
5,31-01-2025,28-01-2025,28-01-2025 21:28,Mumbai,100,Assault,42,M,None,Violent Crime,4,1,17-05-2025
6,31-01-2025,30-01-2025,30-01-2025 19:20,Bangalore,101,Theft,29,M,Other,Property Crime,7,0,
7,01-01-2025,30-12-2024,30-12-2024 10:10,Kolkata,105,Vandalism,26,M,None,Property Crime,6,0,
8,06-08-2024,06-08-2024,06-08-2024 00:28,Hyderabad,101,Theft,31,F,None,Property Crime,8,1,26-09-2024
9,15-06-2025,15-06-2025,15-06-2025 09:20,Bangalore,102,Robbery,21,M,Knife,Property Crime,5,1,28-06-2025
10,17-02-2025,14-02-2025,14-02-2025 17:51,Mumbai,101,Theft,36,M,Other,Property Crime,5,0,
11,14-01-2025,13-01-2025,13-01-2025 16:49,Hyderabad,100,Assault,33,F,None,Violent Crime,4,0,
12,11-11-2024,11-11-2024,11-11-2024 09:51,Mumbai,105,Vandalism,45,M,Other,Property Crime,8,0,
13,04-02-2025,04-02-2025,04-02-2025 07:46,Kolkata,103,Homicide,36,F,Knife,Violent Crime,15,1,12-02-2025
14,07-12-2024,05-12-2024,05-12-2024 19:20,Pune,104,Cyber Crime,18,M,None,Other Crime,6,1,28-02-2025
15,08-06-2025,07-06-2025,07-06-2025 13:47,Mumbai,101,Theft,23,M,None,Property Crime,7,0,
16,24-12-2024,22-12-2024,22-12-2024 18:33,Bangalore,103,Homicide,32,F,Knife,Violent Crime,15,0,
17,02-12-2024,02-12-2024,02-12-2024 22:40,Bangalore,100,Assault,29,F,Blunt Object,Violent Crime,4,0,
18,26-09-2024,23-09-2024,23-09-2024 20:37,Kolkata,100,Assault,16,M,None,Violent Crime,4,1,15-12-2024
19,13-09-2024,12-09-2024,12-09-2024 03:47,Kolkata,100,Assault,22,M,Knife,Violent Crime,6,1,10-01-2025
20,09-03-2025,06-03-2025,06-03-2025 09:36,Bangalore,105,Vandalism,34,M,Other,Property Crime,7,1,20-03-2025
21,10-04-2025,08-04-2025,08-04-2025 14:01,Ahmedabad,101,Theft,33,M,None,Property Crime,3,0,
22,30-05-2025,27-05-2025,27-05-2025 06:00,Chennai,106,Kidnapping,26,M,None,Violent Crime,5,1,06-07-2025
